propertyna,latitude,longitude,borough
Central Park,40.784956,-73.966716,Manhattan
Prospect Park,40.655153,-73.972886,Brooklyn
Flushing Meadows Corona Park,40.750359,-73.836672,Queens
Brookville Park,40.661051,-73.746379,Queens
Flushing Meadows Corona Park,40.748064,-73.84141,Queens
Sara D. Roosevelt Park,40.716851,-73.994166,Manhattan
Canarsie Park,40.629818,-73.892913,Brooklyn
Forest Park,40.702564,-73.868051,Queens
Devoe Park,40.863677,-73.904918,Bronx
Lafayette Gardens Playground,40.689463,-73.957437,Brooklyn
Detective Keith L Williams Park,40.701849,-73.784222,Queens
Gravesend Park,40.623886,-73.984007,Brooklyn
Bensonhurst Park,40.597751,-74.001169,Brooklyn
Carter G. Woodson Children's Park,40.668294,-73.905954,Brooklyn
The Battery,40.702895,-74.01676,Manhattan
Thomas Jefferson Park,40.793236,-73.936294,Manhattan
Riverside Park South,40.779809,-73.988511,Manhattan
Poppenhusen Playground,40.781479,-73.844705,Queens
Central Park,40.791163,-73.95941,Manhattan
Evelina Antonetty Playground,40.817398,-73.928335,Bronx
Brownsville Playground,40.65676,-73.901675,Brooklyn
Gonzalo Plasencia Playground,40.652395,-74.008365,Brooklyn
Linden Park,40.65892,-73.886107,Brooklyn
Bush Terminal Park,40.65333,-74.019899,Brooklyn
Central Park,40.790758,-73.95951,Manhattan
Washington Park,40.672622,-73.984417,Brooklyn
Frederick B. Judge Playground,40.6831,-73.807801,Queens
Coney Island Beach & Boardwalk,40.574614,-73.969217,Brooklyn
Park Of The Americas,40.748754,-73.861797,Queens
De Witt Clinton Park,40.768197,-73.994636,Manhattan
Mill Pond Park,40.822161,-73.931228,Bronx
Hoffman Park,40.732444,-73.872638,Queens
Flushing Meadows Corona Park,40.751761,-73.837424,Queens
Randall's Island Park,40.799256,-73.92302,Manhattan
Sternberg Park,40.705659,-73.947371,Brooklyn
Playground One Twenty Five CXXV,40.810481,-73.954868,Manhattan
Forest Park,40.700963,-73.842865,Queens
St. John's Park,40.673861,-73.934891,Brooklyn
Howard Playground,40.671709,-73.90784,Brooklyn
Sara D. Roosevelt Park,40.720424,-73.992258,Manhattan
Kelly Park Playground,40.603935,-73.957927,Brooklyn
Bloomingdale Park,40.535206,-74.208734,Staten Island
Brooklyn Botanic Garden,40.663816,-73.962233,Brooklyn
Bushwick Playground,40.701813,-73.939361,Brooklyn
Nathan Weidenbaum Playground,40.7382,-73.902095,Queens
Ethan Allen Playground,40.655755,-73.886564,Brooklyn
Central Park,40.771759,-73.976831,Manhattan
Galileo Playground,40.848652,-73.915813,Bronx
Columbus Park,40.71562,-73.999775,Manhattan
Canarsie Park,40.628961,-73.895972,Brooklyn
Tecumseh Playground,40.781945,-73.978515,Manhattan
Bella Abzug Park,40.75542,-74.00062,Manhattan
Astoria Health Playground,40.767846,-73.932568,Queens
Prospect Park,40.663617,-73.974039,Brooklyn
Al Quiñones Playground,40.815129,-73.901709,Bronx
Willowbrook Park,40.60577,-74.15663,Staten Island
Daniel M. O'Connell Playground,40.700226,-73.75813,Queens
Farm Playground,40.735156,-73.777394,Queens
Wards Island Park,40.782997,-73.930725,Manhattan
Bill Rainey Park,40.818457,-73.897988,Bronx
Lawrence Virgilio Playground,40.747358,-73.910192,Queens
Franklin D. Roosevelt Boardwalk and Beach,40.572963,-74.085011,Staten Island
John J Carty Park,40.614538,-74.029355,Brooklyn
John J Carty Park,40.61499,-74.028853,Brooklyn
William Sheridan Playground,40.715106,-73.964332,Brooklyn
Benjamin Gladstone Square,40.825363,-73.890894,Bronx
Franklin D. Roosevelt Boardwalk and Beach,40.569143,-74.090368,Staten Island
Playground Eighty LXXX,40.745072,-73.709531,Queens
Rock Garden Park,40.835189,-73.885283,Bronx
Dr. Green Playground,40.667171,-73.907069,Brooklyn
Lyons Pool,40.637536,-74.074754,Staten Island
Rockaway Beach and Boardwalk,40.589041,-73.788514,Queens
Flushing Meadows Corona Park,40.760084,-73.853742,Queens
Carver Playground,40.680266,-73.920889,Brooklyn
St. John's Park,40.674695,-73.935913,Brooklyn
Flushing Meadows Corona Park,40.746346,-73.838554,Queens
Sheltering Arms Playground,40.815156,-73.955682,Manhattan
Van Cortlandt Park,40.885189,-73.890683,Bronx
Rockaway Beach Boardwalk,40.584894,-73.809281,Queens
Mabel Hampton Playground,40.854631,-73.903863,Bronx
Van Cortlandt Park,40.891078,-73.893038,Bronx
Greene Playground,40.686583,-73.965783,Brooklyn
Half-Nelson Playground,40.846521,-73.91946,Bronx
Queensbridge Park,40.755686,-73.948392,Queens
Central Park,40.791992,-73.955816,Manhattan
Rochdale Park,40.674234,-73.774268,Queens
Spirit Playground,40.761277,-73.941723,Queens
Glen Oaks Oval,40.749714,-73.715113,Queens
Forest Park,40.700404,-73.857881,Queens
Randall's Island Park,40.793247,-73.924232,Manhattan
Kaiser Park,40.578363,-73.996753,Brooklyn
Cherry Tree Park,40.787398,-73.946833,Manhattan
Rory Staunton Field,40.754193,-73.88811,Queens
Bildersee Playground,40.635795,-73.911644,Brooklyn
Riverside Park,40.804387,-73.96913,Manhattan
Prospect Park,40.665559,-73.971572,Brooklyn
John V. Lindsay East River Park,40.722837,-73.973094,Manhattan
Aqueduct Walk,40.85729,-73.908851,Bronx
Floyd Patterson Ballfields,40.660452,-73.904064,Brooklyn
Recreational Area,40.829431,-73.952353,Manhattan
