neighborhood_tabulation_area_nta,latitude,longitude,boro
Murray Hill-Kips Bay,40.750279,-73.977012,Manhattan
Turtle Bay-East Midtown,40.755043,-73.968552,Manhattan
Washington Heights North,40.850683,-73.93287,Manhattan
Murray Hill-Kips Bay,40.742007,-73.98068,Manhattan
Gramercy,40.738502,-73.98061,Manhattan
Jamaica,40.708648,-73.799116,Queens
Melrose South-Mott Haven North,40.822022,-73.911953,Bronx
Bushwick North,40.704822,-73.920155,Brooklyn
West Village,40.739447,-74.0026,Manhattan
Upper East Side-Carnegie Hill,40.779561,-73.959954,Manhattan
Park Slope-Gowanus,40.669731,-73.985958,Brooklyn
Hollis,40.706481,-73.759532,Queens
Central Harlem North-Polo Grounds,40.819293,-73.941018,Manhattan
Lincoln Square,40.779331,-73.98199,Manhattan
Turtle Bay-East Midtown,40.748579,-73.972961,Manhattan
Morningside Heights,40.804959,-73.965902,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.747377,-73.997127,Manhattan
Midtown-Midtown South,40.759205,-73.97699,Manhattan
Park Slope-Gowanus,40.66623,-73.989057,Brooklyn
Turtle Bay-East Midtown,40.75679,-73.971263,Manhattan
University Heights-Morris Heights,40.853764,-73.907899,Bronx
Upper West Side,40.783825,-73.974249,Manhattan
Astoria,40.762073,-73.918518,Queens
Midtown-Midtown South,40.75154,-73.990365,Manhattan
Park Slope-Gowanus,40.662588,-73.992259,Brooklyn
Jackson Heights,40.749459,-73.886455,Queens
Jackson Heights,40.762123,-73.8968722,Queens
Turtle Bay-East Midtown,40.757729,-73.969615,Manhattan
Bushwick North,40.699238,-73.915938,Brooklyn
Richmond Hill,40.695248,-73.84311,Queens
Upper West Side,40.795996,-73.970599,Manhattan
Upper West Side,40.795951,-73.968849,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.743312,-73.922401,Queens
North Side-South Side,40.715227,-73.962741,Brooklyn
Springfield Gardens North,40.6728569,-73.7818546,Queens
Lenox Hill-Roosevelt Island,40.763433,-73.959039,Manhattan
East Harlem North,40.797303,-73.940337,Manhattan
Midtown-Midtown South,40.754851,-73.986359,Manhattan
Hamilton Heights,40.821918,-73.95331,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.741123,-74.00137,Manhattan
New Dorp-Midland Beach,40.578802,-74.101669,Staten Island
Midtown-Midtown South,40.745968,-73.994039,Manhattan
Mount Hope,40.853043,-73.905552,Bronx
Greenpoint,40.720111,-73.947627,Brooklyn
Turtle Bay-East Midtown,40.755812,-73.964595,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.736201,-73.993601,Manhattan
Murray Hill-Kips Bay,40.740612,-73.979079,Manhattan
