neighborhood_tabulation_area_nta,latitude,longitude,boro
Midtown-Midtown South,40.762331,-73.985923,Manhattan
Crown Heights North,40.674266,-73.950234,Brooklyn
Bushwick North,40.702538,-73.916495,Brooklyn
SoHo-TriBeCa-Civic Center-Little Italy,40.720596,-73.994075,Manhattan
Mott Haven-Port Morris,40.804706,-73.912933,Bronx
Astoria,40.760713,-73.922879,Queens
Turtle Bay-East Midtown,40.749203,-73.972507,Manhattan
SoHo-TriBeCa-Civic Center-Little Italy,40.716869,-73.997578,Manhattan
East Harlem North,40.799505,-73.939036,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.744815,-73.994986,Manhattan
Sunset Park East,40.640244,-73.995012,Brooklyn
Midtown-Midtown South,40.760249,-73.973633,Manhattan
Astoria,40.76593,-73.919882,Queens
Elmhurst,40.747451,-73.884987,Queens
Murray Hill-Kips Bay,40.740233,-73.979048,Manhattan
Hunts Point,40.812779,-73.881469,Bronx
Upper West Side,40.778889,-73.977853,Manhattan
Upper West Side,40.780819,-73.981571,Manhattan
Mount Hope,40.843881,-73.91293,Bronx
Gramercy,40.733841,-73.986634,Manhattan
Hamilton Heights,40.82832,-73.949299,Manhattan
Chinatown,40.716355,-73.991198,Manhattan
Gramercy,40.741487,-73.98148,Manhattan
Upper West Side,40.786896,-73.977483,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.745039,-73.998529,Manhattan
Marble Hill-Inwood,40.861152,-73.921004,Manhattan
Norwood,40.88108,-73.87828,Bronx
Central Harlem South,40.80595,-73.950754,Manhattan
South Ozone Park,40.66522,-73.8118342,Queens
Gramercy,40.736332,-73.985123,Manhattan
Forest Hills,40.726495,-73.853138,Queens
Upper West Side,40.792035,-73.971979,Manhattan
Carroll Gardens-Columbia Street-Red Hook,40.6741868,-74.0136956,Brooklyn
Washington Heights North,40.851265,-73.928451,Manhattan
SoHo-TriBeCa-Civic Center-Little Italy,40.727803,-74.005232,Manhattan
Murray Hill-Kips Bay,40.746539,-73.977688,Manhattan
Upper West Side,40.785021,-73.978807,Manhattan
Midtown-Midtown South,40.752339,-73.987574,Manhattan
Midtown-Midtown South,40.748615,-73.992489,Manhattan
East Village,40.729236,-73.987081,Manhattan
Stapleton-Rosebank,40.627192,-74.074112,Staten Island
Hudson Yards-Chelsea-Flatiron-Union Square,40.743579,-73.999894,Manhattan
Clinton,40.764456,-73.99182,Manhattan
Turtle Bay-East Midtown,40.759801,-73.970072,Manhattan
Astoria,40.765402,-73.91836,Queens
Turtle Bay-East Midtown,40.749292,-73.972751,Manhattan
Rego Park,40.728832,-73.863243,Queens
Glen Oaks-Floral Park-New Hyde Park,40.73541,-73.73466,Queens
St. Albans,40.69205,-73.764014,Queens
Midtown-Midtown South,40.762151,-73.986052,Manhattan
Upper West Side,40.793161,-73.970894,Manhattan
Woodhaven,40.691902,-73.863262,Queens
East Flatbush-Farragut,40.65123,-73.942062,Brooklyn
Morningside Heights,40.802984,-73.967855,Manhattan
Marble Hill-Inwood,40.865079,-73.921665,Manhattan
University Heights-Morris Heights,40.854764,-73.911439,Bronx
New Dorp-Midland Beach,40.570635,-74.109918,Staten Island
Midtown-Midtown South,40.748323,-73.982372,Manhattan
Midtown-Midtown South,40.746426,-73.985816,Manhattan
Astoria,40.756521,-73.925215,Queens
Central Harlem North-Polo Grounds,40.81678,-73.942842,Manhattan
Upper West Side,40.801084,-73.967707,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.744847,-73.991677,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.74218,-73.918733,Queens
Fordham South,40.857222,-73.904743,Bronx
Grymes Hill-Clifton-Fox Hills,40.616644,-74.103351,Staten Island
West Village,40.73654,-73.997156,Manhattan
Upper West Side,40.797149,-73.969607,Manhattan
Old Astoria,40.77036,-73.918895,Queens
Bedford Park-Fordham North,40.862051,-73.896079,Bronx
Marble Hill-Inwood,40.862416,-73.920144,Manhattan
Astoria,40.761913,-73.910939,Queens
Jamaica,40.701827,-73.807661,Queens
Gramercy,40.740246,-73.982383,Manhattan
Forest Hills,40.728067,-73.857446,Queens
,40.72705,-73.95887,Brooklyn
Baisley Park,40.67169,-73.7845,Queens
Upper West Side,40.781853,-73.980836,Manhattan
Midtown-Midtown South,40.750092,-73.987792,Manhattan
Park Slope-Gowanus,40.666539,-73.988378,Brooklyn
Morningside Heights,40.810163,-73.958744,Manhattan
North Side-South Side,40.71087,-73.951311,Brooklyn
Greenpoint,40.723014,-73.953234,Brooklyn
Upper West Side,40.792379,-73.96801,Manhattan
Park Slope-Gowanus,40.673534,-73.982789,Brooklyn
Astoria,40.762564,-73.919579,Queens
Ocean Hill,40.679976,-73.905765,Brooklyn
Central Harlem South,40.810023,-73.951413,Manhattan
Kew Gardens,40.711072,-73.82816,Queens
North Side-South Side,40.713851,-73.95954,Brooklyn
Midtown-Midtown South,40.749728,-73.99511,Manhattan
Prospect Heights,40.677589,-73.973062,Brooklyn
Murray Hill-Kips Bay,40.743891,-73.98337,Manhattan
Ocean Hill,40.673525,-73.916832,Brooklyn
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.687609,-73.986989,Brooklyn
Old Town-Dongan Hills-South Beach,40.589488,-74.101271,Staten Island
Lenox Hill-Roosevelt Island,40.763855,-73.95876,Manhattan
East Harlem North,40.803834,-73.936351,Manhattan
East Village,40.732247,-73.985132,Manhattan
Sunset Park West,40.660871,-73.997387,Brooklyn
Clinton,40.765789,-73.990852,Manhattan
East Flatbush-Farragut,40.650947,-73.945545,Brooklyn
North Side-South Side,40.71777,-73.957869,Brooklyn
Mount Hope,40.846646,-73.901392,Bronx
Upper East Side-Carnegie Hill,40.766737,-73.969318,Manhattan
Park Slope-Gowanus,40.669018,-73.986317,Brooklyn
Washington Heights South,40.832749,-73.941887,Manhattan
Hunts Point,40.810373,-73.886431,Bronx
Hudson Yards-Chelsea-Flatiron-Union Square,40.741502,-73.993593,Manhattan
Chinatown,40.719504,-73.989474,Manhattan
East Village,40.731219,-73.982827,Manhattan
Upper West Side,40.797826,-73.967748,Manhattan
Midtown-Midtown South,40.762366,-73.982552,Manhattan
East Village,40.730496,-73.980768,Manhattan
Midtown-Midtown South,40.763424,-73.985061,Manhattan
Turtle Bay-East Midtown,40.757604,-73.963593,Manhattan
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.684799,-73.991581,Brooklyn
Jackson Heights,40.748798,-73.87355,Queens
University Heights-Morris Heights,40.853842,-73.909388,Bronx
Gramercy,40.73347,-73.987384,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.741373,-74.001501,Manhattan
Sunset Park West,40.654133,-74.004404,Brooklyn
Woodhaven,40.692451,-73.860858,Queens
East Concourse-Concourse Village,40.835734,-73.91396,Bronx
Bushwick North,40.70024,-73.91248,Brooklyn
Springfield Gardens North,40.67515,-73.78258,Queens
Midtown-Midtown South,40.75967,-73.987786,Manhattan
Forest Hills,40.722499,-73.850777,Queens
East Williamsburg,40.711079,-73.943732,Brooklyn
Washington Heights South,40.846117,-73.938598,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.745418,-73.946937,Queens
Lenox Hill-Roosevelt Island,40.765665,-73.957409,Manhattan
North Side-South Side,40.719246,-73.958612,Brooklyn
Midtown-Midtown South,40.757666,-73.985878,Manhattan
Upper West Side,40.784128,-73.979996,Manhattan
Carroll Gardens-Columbia Street-Red Hook,40.679747,-74.0121699,Brooklyn
Midtown-Midtown South,40.748539,-73.988218,Manhattan
Washington Heights South,40.837834,-73.941903,Manhattan
Brownsville,40.6732003,-73.9058603,Brooklyn
Old Astoria,40.772033,-73.925778,Queens
Washington Heights South,40.844689,-73.937259,Manhattan
Richmond Hill,40.695913,-73.83881,Queens
New Dorp-Midland Beach,40.579634,-74.100652,Staten Island
Lenox Hill-Roosevelt Island,40.766952,-73.956465,Manhattan
Gramercy,40.741012,-73.983767,Manhattan
Midtown-Midtown South,40.751224,-73.990592,Manhattan
Midtown-Midtown South,40.762468,-73.974732,Manhattan
Chinatown,40.719215,-73.98985,Manhattan
Clinton,40.767047,-73.989933,Manhattan
East Village,40.729436,-73.983824,Manhattan
Erasmus,40.651027,-73.946513,Brooklyn
Central Harlem South,40.80663,-73.950256,Manhattan
Murray Hill-Kips Bay,40.749605,-73.975534,Manhattan
Upper East Side-Carnegie Hill,40.76606,-73.963554,Manhattan
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.687457,-73.98192,Brooklyn
Bushwick South,40.691042,-73.908632,Brooklyn
Hunters Point-Sunnyside-West Maspeth,40.743382,-73.950806,Queens
Astoria,40.763,-73.913259,Queens
Jamaica,40.703928,-73.79847,Queens
Central Harlem North-Polo Grounds,40.811362,-73.95016,Manhattan
Upper West Side,40.793426,-73.973043,Manhattan
Brownsville,40.667332,-73.922023,Brooklyn
Crown Heights North,40.676976,-73.949916,Brooklyn
Lincoln Square,40.774646,-73.9824,Manhattan
Lincoln Square,40.774894,-73.982571,Manhattan
SoHo-TriBeCa-Civic Center-Little Italy,40.725666,-74.006274,Manhattan
Manhattanville,40.818868,-73.95187,Manhattan
Erasmus,40.649115,-73.958291,Brooklyn
South Ozone Park,40.6758706,-73.809068,Queens
Greenpoint,40.736913,-73.955453,Brooklyn
Fordham South,40.862152,-73.898396,Bronx
Hudson Yards-Chelsea-Flatiron-Union Square,40.754666,-73.991816,Manhattan
Hamilton Heights,40.824578,-73.952134,Manhattan
Springfield Gardens North,40.677229,-73.778436,Queens
Fort Greene,40.68789,-73.978202,Brooklyn
West Concourse,40.818942,-73.92837,Bronx
Upper West Side,40.796566,-73.970619,Manhattan
Central Harlem North-Polo Grounds,40.822308,-73.942445,Manhattan
East Williamsburg,40.702936,-73.942563,Brooklyn
Carroll Gardens-Columbia Street-Red Hook,40.6758529,-74.0148937,Brooklyn
Hunters Point-Sunnyside-West Maspeth,40.743555,-73.924156,Queens
Washington Heights North,40.85308,-73.93438,Manhattan
Mount Hope,40.847574,-73.900766,Bronx
Murray Hill-Kips Bay,40.739253,-73.979762,Manhattan
Longwood,40.821338,-73.896767,Bronx
East Williamsburg,40.714191,-73.951552,Brooklyn
SOUTH OZONE PARK,40.6743171,-73.8201624,Queens
East Village,40.72746,-73.988372,Manhattan
New Dorp-Midland Beach,40.577391,-74.102671,Staten Island
Astoria,40.763686,-73.915051,Queens
West Concourse,40.818676,-73.928165,Bronx
Upper West Side,40.788986,-73.970482,Manhattan
Lenox Hill-Roosevelt Island,40.761748,-73.963311,Manhattan
Upper East Side-Carnegie Hill,40.782766,-73.951257,Manhattan
East Village,40.728824,-73.98468,Manhattan
Midtown-Midtown South,40.746005,-73.99029,Manhattan
Cypress Hills-City Line,40.683506,-73.872079,Brooklyn
Hudson Yards-Chelsea-Flatiron-Union Square,40.753067,-74.003811,Manhattan
Elmhurst,40.735387,-73.876254,Queens
Battery Park City-Lower Manhattan,40.705044,-74.007322,Manhattan
Washington Heights South,40.835729,-73.940075,Manhattan
Astoria,40.762278,-73.911717,Queens
Hudson Yards-Chelsea-Flatiron-Union Square,40.7451,-73.978821,Manhattan
Gramercy,40.738384,-73.980396,Manhattan
Upper West Side,40.792696,-73.973438,Manhattan
West New Brighton-New Brighton-St. George,40.646298,-74.089516,Staten Island
Upper East Side-Carnegie Hill,40.769102,-73.961324,Manhattan
North Side-South Side,40.71308,-73.951285,Brooklyn
Bedford Park-Fordham North,40.87301,-73.888541,Bronx
Crown Heights South,40.663619,-73.95701,Brooklyn
Turtle Bay-East Midtown,40.748733,-73.975363,Manhattan
Mott Haven-Port Morris,40.812253,-73.928665,Bronx
South Jamaica,40.69067,-73.79727,Queens
Hunters Point-Sunnyside-West Maspeth,40.742919,-73.952127,Queens
Murray Hill-Kips Bay,40.750014,-73.976519,Manhattan
Crown Heights South,40.664166,-73.95092,Brooklyn
Forest Hills,40.721177,-73.845607,Queens
Turtle Bay-East Midtown,40.748914,-73.975648,Manhattan
Midtown-Midtown South,40.760283,-73.987313,Manhattan
Sunset Park West,40.655746,-74.006549,Brooklyn
Upper West Side,40.78254,-73.975184,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.74151,-74.001088,Manhattan
Morningside Heights,40.80528,-73.96567,Manhattan
Murray Hill-Kips Bay,40.740775,-73.981576,Manhattan
Washington Heights North,40.85162,-73.932187,Manhattan
Upper West Side,40.786223,-73.977993,Manhattan
South Jamaica,40.691834,-73.798502,Queens
Upper East Side-Carnegie Hill,40.778795,-73.960116,Manhattan
Melrose South-Mott Haven North,40.822112,-73.914849,Bronx
Washington Heights South,40.848444,-73.934241,Manhattan
SoHo-TriBeCa-Civic Center-Little Italy,40.723013,-74.006771,Manhattan
Clinton Hill,40.6822,-73.961648,Brooklyn
Prospect Heights,40.679639,-73.974371,Brooklyn
Hudson Yards-Chelsea-Flatiron-Union Square,40.745448,-73.994537,Manhattan
Midtown-Midtown South,40.760963,-73.973101,Manhattan
Turtle Bay-East Midtown,40.761484,-73.966779,Manhattan
East Village,40.730537,-73.986389,Manhattan
Upper West Side,40.78535,-73.973137,Manhattan
University Heights-Morris Heights,40.850245,-73.915169,Bronx
Park Slope-Gowanus,40.66355,-73.991246,Brooklyn
Lincoln Square,40.77539,-73.981829,Manhattan
Jackson Heights,40.755964,-73.879821,Queens
Hudson Yards-Chelsea-Flatiron-Union Square,40.743706,-73.992084,Manhattan
Mount Hope,40.853028,-73.905076,Bronx
Park Slope-Gowanus,40.675254,-73.981469,Brooklyn
Midtown-Midtown South,40.757958,-73.977926,Manhattan
Crown Heights North,40.679485,-73.949522,Brooklyn
Hudson Yards-Chelsea-Flatiron-Union Square,40.738302,-73.996296,Manhattan
Elmhurst,40.74749,-73.88469,Queens
Hamilton Heights,40.822319,-73.953676,Manhattan
Lincoln Square,40.780019,-73.981396,Manhattan
Crown Heights North,40.676714,-73.955858,Brooklyn
St. Albans,40.692091,-73.762522,Queens
Rosedale,40.6529215,-73.734555,Queens
Fordham South,40.8561301,-73.8957863,Bronx
Ocean Hill,40.675985,-73.916601,Brooklyn
Hunters Point-Sunnyside-West Maspeth,40.7424646,-73.9568252,Queens
Forest Hills,40.720671,-73.842845,Queens
Midtown-Midtown South,40.746624,-73.988399,Manhattan
Upper West Side,40.796761,-73.970652,Manhattan
East Harlem South,40.790862,-73.945348,Manhattan
Jackson Heights,40.747539,-73.885498,Queens
Gramercy,40.73196,-73.983802,Manhattan
Mount Hope,40.851878,-73.908976,Bronx
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.691234,-73.986384,Brooklyn
Central Harlem South,40.806249,-73.950095,Manhattan
Murray Hill-Kips Bay,40.742736,-73.980459,Manhattan
Midtown-Midtown South,40.754171,-73.991871,Manhattan
Upper East Side-Carnegie Hill,40.772373,-73.964839,Manhattan
Lower East Side,40.716166,-73.986634,Manhattan
Longwood,40.826449,-73.898554,Bronx
East Harlem North,40.80154,-73.937249,Manhattan
Turtle Bay-East Midtown,40.753661,-73.969649,Manhattan
Turtle Bay-East Midtown,40.755877,-73.97103,Manhattan
Woodhaven,40.694676,-73.848587,Queens
Turtle Bay-East Midtown,40.759807,-73.970369,Manhattan
Central Harlem South,40.807326,-73.952789,Manhattan
Washington Heights South,40.835546,-73.944011,Manhattan
Crown Heights South,40.669652,-73.958261,Brooklyn
Central Harlem South,40.805615,-73.950557,Manhattan
Hunts Point,40.816456,-73.887672,Bronx
Norwood,40.869906,-73.879279,Bronx
Brooklyn Heights-Cobble Hill,40.694726,-73.994227,Brooklyn
East Village,40.726263,-73.989248,Manhattan
Greenpoint,40.728133,-73.953439,Brooklyn
Astoria,40.760473,-73.922019,Queens
Morningside Heights,40.802957,-73.967371,Manhattan
Prospect Lefferts Gardens-Wingate,40.660103,-73.939963,Brooklyn
Hunters Point-Sunnyside-West Maspeth,40.74098,-73.95937,Queens
Woodside,40.75391,-73.900094,Queens
Midtown-Midtown South,40.7527,-73.992756,Manhattan
Melrose South-Mott Haven North,40.819568,-73.913388,Bronx
West Village,40.738351,-74.005466,Manhattan
Murray Hill-Kips Bay,40.744984,-73.982723,Manhattan
North Side-South Side,40.712268,-73.95561,Brooklyn
Clinton,40.764933,-73.984333,Manhattan
Murray Hill-Kips Bay,40.743035,-73.980242,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.74432,-73.953484,Queens
University Heights-Morris Heights,40.853881,-73.908662,Bronx
Crown Heights North,40.679143,-73.925474,Brooklyn
Hudson Yards-Chelsea-Flatiron-Union Square,40.74426,-73.999398,Manhattan
Melrose South-Mott Haven North,40.816751,-73.922955,Bronx
Lincoln Square,40.776573,-73.979051,Manhattan
Ocean Hill,40.678286,-73.912185,Brooklyn
Astoria,40.75949,-73.919926,Queens
Crown Heights North,40.676752,-73.949935,Brooklyn
East Harlem South,40.793009,-73.943784,Manhattan
Chinatown,40.720486,-73.989083,Manhattan
Lenox Hill-Roosevelt Island,40.772144,-73.958697,Manhattan
Manhattanville,40.818813,-73.955796,Manhattan
,40.6489613,-73.9641039,Brooklyn
Jamaica,40.705993,-73.793755,Queens
Yorkville,40.780782,-73.9524,Manhattan
Midtown-Midtown South,40.760266,-73.984857,Manhattan
Brownsville,40.668901,-73.917267,Brooklyn
Upper West Side,40.78241,-73.979,Manhattan
Midtown-Midtown South,40.74988,-73.994993,Manhattan
Washington Heights North,40.861094,-73.925852,Manhattan
West New Brighton-New Brighton-St. George,40.641769,-74.077691,Staten Island
Bedford Park-Fordham North,40.866588,-73.895654,Bronx
Midtown-Midtown South,40.765522,-73.983593,Manhattan
Westerleigh,40.612541,-74.127724,Staten Island
West Concourse,40.827825,-73.924833,Bronx
Forest Hills,40.718602,-73.838184,Queens
Hamilton Heights,40.827925,-73.945775,Manhattan
SoHo-TriBeCa-Civic Center-Little Italy,40.715712,-74.005126,Manhattan
Old Town-Dongan Hills-South Beach,40.589032,-74.101684,Staten Island
Turtle Bay-East Midtown,40.751188,-73.971061,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.739846,-74.002305,Manhattan
Midtown-Midtown South,40.746465,-73.983714,Manhattan
Upper East Side-Carnegie Hill,40.773727,-73.957965,Manhattan
Mott Haven-Port Morris,40.806385,-73.916245,Bronx
Hudson Yards-Chelsea-Flatiron-Union Square,40.744175,-73.987549,Manhattan
Hunts Point,40.809714,-73.880704,Bronx
East Harlem North,40.80007,-73.946762,Manhattan
East Village,40.728126,-73.985083,Manhattan
College Point,40.77112,-73.84377,Queens
West Village,40.731593,-74.006408,Manhattan
Midtown-Midtown South,40.764718,-73.980478,Manhattan
Bedford,40.680197,-73.944903,Brooklyn
East Village,40.730767,-73.982847,Manhattan
Washington Heights North,40.860368,-73.928337,Manhattan
Mott Haven-Port Morris,40.813367,-73.919625,Bronx
Washington Heights South,40.833447,-73.94174,Manhattan
West New Brighton-New Brighton-St. George,40.644698,-74.099459,Staten Island
Jackson Heights,40.749112,-73.870624,Queens
Queensbridge-Ravenswood-Long Island City,40.751498,-73.934157,Queens
East Village,40.730578,-73.989008,Manhattan
Cypress Hills-City Line,40.684702,-73.868309,Brooklyn
Midtown-Midtown South,40.766175,-73.981988,Manhattan
Richmond Hill,40.700159,-73.830914,Queens
Crown Heights North,40.672114,-73.950214,Brooklyn
Morningside Heights,40.800592,-73.961745,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.751234,-74.005146,Manhattan
Clinton,40.761073,-73.987251,Manhattan
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.686571,-73.993785,Brooklyn
Elmhurst,40.733579,-73.871648,Queens
Van Cortlandt Village,40.868698,-73.902101,Bronx
Midtown-Midtown South,40.760632,-73.984283,Manhattan
Clinton,40.769567,-73.988099,Manhattan
West Village,40.738798,-74.005285,Manhattan
Brooklyn Heights-Cobble Hill,40.69607,-73.991264,Brooklyn
Prospect Lefferts Gardens-Wingate,40.660616,-73.953308,Brooklyn
Erasmus,40.642875,-73.957574,Brooklyn
Elmhurst-Maspeth,40.746672,-73.892532,Queens
Lenox Hill-Roosevelt Island,40.768423,-73.961381,Manhattan
Murray Hill-Kips Bay,40.747055,-73.981061,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.73797,-73.988584,Manhattan
Upper West Side,40.795399,-73.969254,Manhattan
Turtle Bay-East Midtown,40.752476,-73.970116,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.742674,-73.996549,Manhattan
Murray Hill-Kips Bay,40.748289,-73.976105,Manhattan
Upper East Side-Carnegie Hill,40.778272,-73.954541,Manhattan
Central Harlem North-Polo Grounds,40.819549,-73.944183,Manhattan
Midtown-Midtown South,40.753978,-73.988322,Manhattan
Morningside Heights,40.804399,-73.966328,Manhattan
Gramercy,40.738827,-73.982886,Manhattan
Turtle Bay-East Midtown,40.754092,-73.97218,Manhattan
Forest Hills,40.72785,-73.856848,Queens
Morningside Heights,40.801247,-73.961279,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.739719,-74.002217,Manhattan
Park Slope-Gowanus,40.67762,-73.979738,Brooklyn
Prospect Heights,40.679568,-73.97406,Brooklyn
Upper West Side,40.782528,-73.980586,Manhattan
Yorkville,40.778141,-73.952594,Manhattan
Clinton Hill,40.680951,-73.955704,Brooklyn
West Concourse,40.816752,-73.929243,Bronx
Bedford Park-Fordham North,40.867856,-73.884254,Bronx
Murray Hill-Kips Bay,40.744154,-73.97619,Manhattan
Murray Hill-Kips Bay,40.742433,-73.980371,Manhattan
Jamaica,40.700933,-73.808783,Queens
Jackson Heights,40.748551,-73.875775,Queens
Upper West Side,40.794462,-73.971573,Manhattan
Queensbridge-Ravenswood-Long Island City,40.754188,-73.929399,Queens
Turtle Bay-East Midtown,40.755193,-73.968444,Manhattan
Clinton,40.765875,-73.991057,Manhattan
West Village,40.738997,-74.000946,Manhattan
Upper West Side,40.780148,-73.976932,Manhattan
Turtle Bay-East Midtown,40.759234,-73.965504,Manhattan
Longwood,40.814577,-73.89693,Bronx
Upper West Side,40.792255,-73.973761,Manhattan
Bushwick South,40.695701,-73.920858,Brooklyn
Elmhurst,40.734545,-73.874705,Queens
Lenox Hill-Roosevelt Island,40.767282,-73.956537,Manhattan
Woodhaven,40.694697,-73.847844,Queens
West Concourse,40.835133,-73.919797,Bronx
Manhattanville,40.813669,-73.95619,Manhattan
East Harlem North,40.803731,-73.936139,Manhattan
Astoria,40.764273,-73.915958,Queens
Queensbridge-Ravenswood-Long Island City,40.7513,-73.94088,Queens
Turtle Bay-East Midtown,40.752623,-73.973254,Manhattan
Far Rockaway-Bayswater,40.5972167,-73.7544593,Queens
Lincoln Square,40.769566,-73.981841,Manhattan
Midtown-Midtown South,40.754311,-73.98833,Manhattan
Midtown-Midtown South,40.762987,-73.974254,Manhattan
Crown Heights South,40.669791,-73.955285,Brooklyn
Clinton,40.763385,-73.99287,Manhattan
Gramercy,40.736756,-73.981862,Manhattan
Clinton,40.762336,-73.993368,Manhattan
Upper West Side,40.798027,-73.967603,Manhattan
Murray Hill-Kips Bay,40.739341,-73.979985,Manhattan
Brownsville,40.670182,-73.907833,Brooklyn
Morningside Heights,40.811205,-73.953849,Manhattan
Central Harlem North-Polo Grounds,40.820406,-73.940304,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.736111,-73.993424,Manhattan
University Heights-Morris Heights,40.84615,-73.9204,Bronx
Midtown-Midtown South,40.754144,-73.986581,Manhattan
Washington Heights North,40.852257,-73.931452,Manhattan
Hollis,40.713333,-73.761335,Queens
Kingsbridge Heights,40.861762,-73.901965,Bronx
Midtown-Midtown South,40.749122,-73.995553,Manhattan
Brownsville,40.668481,-73.909666,Brooklyn
Turtle Bay-East Midtown,40.761095,-73.967076,Manhattan
Upper West Side,40.781861,-73.979137,Manhattan
Prospect Heights,40.675659,-73.963553,Brooklyn
East Village,40.72922,-73.983979,Manhattan
West Concourse,40.827356,-73.925223,Bronx
Turtle Bay-East Midtown,40.755335,-73.968041,Manhattan
Melrose South-Mott Haven North,40.817235,-73.915829,Bronx
East New York,40.677222,-73.897464,Brooklyn
Morningside Heights,40.80158,-73.964747,Manhattan
East Village,40.730878,-73.981659,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.743221,-73.921257,Queens
Fordham South,40.861349,-73.898023,Bronx
Turtle Bay-East Midtown,40.758377,-73.968759,Manhattan
Morningside Heights,40.80676,-73.965108,Manhattan
New Dorp-Midland Beach,40.575553,-74.104816,Staten Island
Mott Haven-Port Morris,40.80891,-73.922209,Bronx
Hamilton Heights,40.829424,-73.948046,Manhattan
Lower East Side,40.714,-73.989983,Manhattan
Prospect Lefferts Gardens-Wingate,40.663827,-73.950775,Brooklyn
East Williamsburg,40.701542,-73.942169,Brooklyn
Astoria,40.758818,-73.918494,Queens
Lenox Hill-Roosevelt Island,40.761604,-73.966388,Manhattan
Morningside Heights,40.802736,-73.967461,Manhattan
Central Harlem North-Polo Grounds,40.816689,-73.946548,Manhattan
Brownsville,40.670741,-73.90406,Brooklyn
Murray Hill-Kips Bay,40.750833,-73.976817,Manhattan
Turtle Bay-East Midtown,40.760457,-73.967538,Manhattan
SoHo-TriBeCa-Civic Center-Little Italy,40.716682,-74.002253,Manhattan
St. Albans,40.692301,-73.766565,Queens
Bedford Park-Fordham North,40.86115,-73.8974,Bronx
Bronxdale,40.8696,-73.87031,Bronx
Mount Hope,40.85397,-73.898365,Bronx
Crown Heights North,40.667706,-73.931143,Brooklyn
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.690588,-73.984481,Brooklyn
Clinton,40.765601,-73.983845,Manhattan
Astoria,40.761341,-73.92387,Queens
Turtle Bay-East Midtown,40.753196,-73.972445,Manhattan
Carroll Gardens-Columbia Street-Red Hook,40.68241,-73.993467,Brooklyn
Jamaica,40.699614,-73.803356,Queens
North Side-South Side,40.717658,-73.960301,Brooklyn
Hunts Point,40.82668,-73.887763,Bronx
Hudson Yards-Chelsea-Flatiron-Union Square,40.744114,-73.995892,Manhattan
East Harlem South,40.794911,-73.942397,Manhattan
Old Town-Dongan Hills-South Beach,40.598397,-74.082621,Staten Island
Hamilton Heights,40.830586,-73.947195,Manhattan
Kingsbridge Heights,40.867829,-73.899576,Bronx
Gramercy,40.733694,-73.987044,Manhattan
Washington Heights South,40.833911,-73.944772,Manhattan
Crown Heights South,40.665114,-73.931592,Brooklyn
Hudson Yards-Chelsea-Flatiron-Union Square,40.75196913,-74.00491217,Manhattan
,40.698051,-73.802253,Queens
Gramercy,40.735839,-73.985171,Manhattan
Far Rockaway-Bayswater,40.5941935,-73.7511499,Queens
SoHo-TriBeCa-Civic Center-Little Italy,40.718033,-74.001016,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.742828,-73.993003,Manhattan
East Harlem North,40.798488,-73.941542,Manhattan
Jackson Heights,40.749829,-73.884155,Queens
Washington Heights North,40.859244,-73.930858,Manhattan
Chinatown,40.716484,-73.989156,Manhattan
Lenox Hill-Roosevelt Island,40.762921,-73.959715,Manhattan
Elmhurst,40.740737,-73.87936,Queens
Fordham South,40.85915372,-73.89855259,Bronx
Hunters Point-Sunnyside-West Maspeth,40.742912,-73.91854,Queens
Lincoln Square,40.774266,-73.98095,Manhattan
Clinton,40.76282,-73.9967,Manhattan
Upper West Side,40.78326,-73.980848,Manhattan
Lincoln Square,40.776311,-73.981937,Manhattan
East Village,40.725641,-73.989698,Manhattan
Carroll Gardens-Columbia Street-Red Hook,40.68318,-73.995418,Brooklyn
SoHo-TriBeCa-Civic Center-Little Italy,40.725335,-74.007554,Manhattan
Murray Hill-Kips Bay,40.742625,-73.980628,Manhattan
Hamilton Heights,40.826928,-73.949868,Manhattan
Midtown-Midtown South,40.749153,-73.991801,Manhattan
