"date","program_type","vacancies_per_day","beds_per_day","vacant_per_day"
"2019-12-19T00:00:00.000","Crisis Shelters","26","258","0.1"
"2019-12-19T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2019-12-19T00:00:00.000","Transitional Independent Living (TIL)","68","493","0.14"
"2019-12-20T00:00:00.000","Crisis Shelters","28","258","0.11"
"2019-12-20T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2019-12-20T00:00:00.000","Transitional Independent Living (TIL)","69","493","0.14"
"2019-12-21T00:00:00.000","Crisis Shelters","26","258","0.1"
"2019-12-21T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2019-12-21T00:00:00.000","Transitional Independent Living (TIL)","69","493","0.14"
"2019-12-22T00:00:00.000","Crisis Shelters","25","258","0.1"
"2019-12-22T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2019-12-22T00:00:00.000","Transitional Independent Living (TIL)","68","493","0.14"
"2019-12-23T00:00:00.000","Crisis Shelters","21","258","0.08"
"2019-12-23T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2019-12-23T00:00:00.000","Transitional Independent Living (TIL)","71","493","0.14"
"2019-12-24T00:00:00.000","Crisis Shelters","21","258","0.08"
"2019-12-24T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2019-12-24T00:00:00.000","Transitional Independent Living (TIL)","71","493","0.14"
"2019-12-25T00:00:00.000","Crisis Shelters","18","258","0.07"
"2019-12-25T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2019-12-25T00:00:00.000","Transitional Independent Living (TIL)","72","493","0.15"
"2019-12-26T00:00:00.000","Crisis Shelters","21","258","0.08"
"2019-12-26T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2019-12-26T00:00:00.000","Transitional Independent Living (TIL)","73","493","0.15"
"2019-12-27T00:00:00.000","Crisis Shelters","17","258","0.07"
"2019-12-27T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2019-12-27T00:00:00.000","Transitional Independent Living (TIL)","71","493","0.14"
"2019-12-28T00:00:00.000","Crisis Shelters","17","258","0.07"
"2019-12-28T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2019-12-28T00:00:00.000","Transitional Independent Living (TIL)","71","493","0.14"
"2019-12-29T00:00:00.000","Crisis Shelters","20","258","0.08"
"2019-12-29T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2019-12-29T00:00:00.000","Transitional Independent Living (TIL)","72","493","0.15"
"2019-12-30T00:00:00.000","Crisis Shelters","21","258","0.08"
"2019-12-30T00:00:00.000","Transitional Independent Living (HYA)","1","25","0.04"
"2019-12-30T00:00:00.000","Transitional Independent Living (TIL)","74","493","0.15"
"2019-12-31T00:00:00.000","Crisis Shelters","27","258","0.1"
"2019-12-31T00:00:00.000","Transitional Independent Living (HYA)","1","25","0.04"
"2019-12-31T00:00:00.000","Transitional Independent Living (TIL)","69","493","0.14"
"2020-01-01T00:00:00.000","Crisis Shelters","22","258","0.09"
"2020-01-01T00:00:00.000","Transitional Independent Living (HYA)","1","25","0.04"
"2020-01-01T00:00:00.000","Transitional Independent Living (TIL)","66","493","0.13"
"2020-01-02T00:00:00.000","Crisis Shelters","15","258","0.06"
"2020-01-02T00:00:00.000","Transitional Independent Living (HYA)","1","25","0.04"
"2020-01-02T00:00:00.000","Transitional Independent Living (TIL)","67","493","0.14"
"2020-01-03T00:00:00.000","Crisis Shelters","12","258","0.05"
"2020-01-03T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2020-01-03T00:00:00.000","Transitional Independent Living (TIL)","65","493","0.13"
"2020-01-04T00:00:00.000","Crisis Shelters","12","258","0.05"
"2020-01-04T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2020-01-04T00:00:00.000","Transitional Independent Living (TIL)","67","493","0.14"
"2020-01-05T00:00:00.000","Crisis Shelters","16","258","0.06"
"2020-01-05T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2020-01-05T00:00:00.000","Transitional Independent Living (TIL)","68","493","0.14"
"2020-01-06T00:00:00.000","Crisis Shelters","22","258","0.09"
"2020-01-06T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2020-01-06T00:00:00.000","Transitional Independent Living (TIL)","67","493","0.14"
"2020-01-07T00:00:00.000","Crisis Shelters","17","258","0.07"
"2020-01-07T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2020-01-07T00:00:00.000","Transitional Independent Living (TIL)","67","493","0.14"
"2020-01-08T00:00:00.000","Crisis Shelters","10","258","0.04"
"2020-01-08T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2020-01-08T00:00:00.000","Transitional Independent Living (TIL)","66","493","0.13"
"2020-01-09T00:00:00.000","Crisis Shelters","16","258","0.06"
"2020-01-09T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2020-01-09T00:00:00.000","Transitional Independent Living (TIL)","63","493","0.13"
"2020-01-10T00:00:00.000","Crisis Shelters","13","258","0.05"
"2020-01-10T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2020-01-10T00:00:00.000","Transitional Independent Living (TIL)","59","493","0.12"
"2020-01-11T00:00:00.000","Crisis Shelters","15","258","0.06"
"2020-01-11T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2020-01-11T00:00:00.000","Transitional Independent Living (TIL)","60","493","0.12"
"2020-01-12T00:00:00.000","Crisis Shelters","10","258","0.04"
"2020-01-12T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2020-01-12T00:00:00.000","Transitional Independent Living (TIL)","62","493","0.13"
"2020-01-13T00:00:00.000","Crisis Shelters","13","258","0.05"
"2020-01-13T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2020-01-13T00:00:00.000","Transitional Independent Living (TIL)","59","493","0.12"
"2020-01-14T00:00:00.000","Crisis Shelters","16","258","0.06"
"2020-01-14T00:00:00.000","Transitional Independent Living (HYA)","0","25","0"
"2020-01-14T00:00:00.000","Transitional Independent Living (TIL)","56","493","0.11"
"2020-01-15T00:00:00.000","Crisis Shelters","12","258","0.05"
